Samples,Val,Method
0,5.38102766115517,CAMEO
100,5.38755852727242,CAMEO
200,5.48826517389727,CAMEO
300,5.66820435736624,CAMEO
400,6.53172998842413,CAMEO
500,7.50180549076521,CAMEO
600,7.93235888664282,CAMEO
700,8.63448746522919,CAMEO
800,9.65481435408352,CAMEO
900,11.9612381001745,CAMEO
1000,14.1066276196893,CAMEO
1100,15.9318837574941,CAMEO
1200,17.2746419253961,CAMEO
1300,19.5257347224382,CAMEO
1400,21.8278045577843,CAMEO
1500,23.915807114843,CAMEO
1600,26.0061075692393,CAMEO
1700,30.0219250505365,CAMEO
1800,31.8457298847596,CAMEO
1900,33.0795193420757,CAMEO
2000,33.2445446535013,CAMEO
2100,34.3174208262064,CAMEO
2200,35.8697714196859,CAMEO
2300,37.3150883740217,CAMEO
2400,38.2248743067434,CAMEO
2500,39.0287150780076,CAMEO
2600,39.9771333298779,CAMEO
2700,39.9771333298779,CAMEO
2800,39.9771333298779,CAMEO
2900,39.9771333298779,CAMEO
3000,39.9771333298779,CAMEO
3100,39.9771333298779,CAMEO
3200,39.9771333298779,CAMEO
3300,39.9771333298779,CAMEO
3400,39.9771333298779,CAMEO
3500,39.9771333298779,CAMEO
3600,39.9771333298779,CAMEO
0,5.59364363586102,CAMEO
100,5.54399695917346,CAMEO
200,5.8688470775238,CAMEO
300,6.99790079303374,CAMEO
400,8.3422312064825,CAMEO
500,9.52189913440108,CAMEO
600,11.6674095958811,CAMEO
700,13.3294545517373,CAMEO
800,15.2578741858014,CAMEO
900,18.7925240588124,CAMEO
1000,20.2400179685205,CAMEO
1100,21.1523436825101,CAMEO
1200,22.4400127852935,CAMEO
1300,23.5684617909777,CAMEO
1400,24.9112199588797,CAMEO
1500,25.0755196185145,CAMEO
1600,25.7757131256587,CAMEO
1700,26.5831821558769,CAMEO
1800,28.3579450232381,CAMEO
1900,29.0564453428705,CAMEO
2000,29.9170683667651,CAMEO
2100,30.4558648214378,CAMEO
2200,30.7255049327044,CAMEO
2300,30.9949031600408,CAMEO
2400,31.2106636258401,CAMEO
2500,31.9072288740303,CAMEO
2600,33.3536343060523,CAMEO
2700,34.3703329359526,CAMEO
2800,35.2804816945697,CAMEO
2900,36.6727655971941,CAMEO
3000,37.7441904663177,CAMEO
3100,38.1730506746834,CAMEO
3200,38.8159781613366,CAMEO
3300,39.0846507368821,CAMEO
3400,39.0931899307175,CAMEO
3500,39.1413120475475,CAMEO
3600,39.3035556937749,CAMEO
0,5.86328374712763,JUMBO
100,5.86763765787246,JUMBO
200,6.62207363637934,JUMBO
300,7.75100640992415,JUMBO
400,9.09279704210508,JUMBO
500,10.5398071839527,JUMBO
600,11.6666839440903,JUMBO
700,12.9541111629434,JUMBO
800,13.9735914580418,JUMBO
900,14.7281483785138,JUMBO
1000,14.946448625581,JUMBO
1100,15.0583199433301,JUMBO
1200,15.0638832737262,JUMBO
1300,15.066423054994,JUMBO
1400,14.9096217971976,JUMBO
1500,15.1285267540904,JUMBO
1600,15.1333644326958,JUMBO
1700,15.2965756146443,JUMBO
1800,15.4077212806026,JUMBO
1900,15.5194716563866,JUMBO
2000,16.0594775307106,JUMBO
2100,17.2387826327338,JUMBO
2200,18.9537396983362,JUMBO
2300,20.774520983431,JUMBO
2400,22.7558527272413,JUMBO
2500,24.4694794312272,JUMBO
2600,25.2740458542822,JUMBO
2700,27.2553775980926,JUMBO
2800,28.8079700755023,JUMBO
2900,30.3065619654797,JUMBO
3000,31.2710741374246,JUMBO
3100,31.7539349332228,JUMBO
3200,32.2898287807322,JUMBO
3300,32.8264482800325,JUMBO
3400,33.7910813939425,JUMBO
3500,35.1303322448557,JUMBO
3600,35.1303322448557,JUMBO
0,5.32702707372277,JUMBO
100,5.70624060540092,JUMBO
200,5.76677205895057,JUMBO
300,6.78830836745625,JUMBO
400,8.29052851638764,JUMBO
500,11.1805577152335,JUMBO
600,13.6435408351907,JUMBO
700,14.6616907686726,JUMBO
800,15.5734117728364,JUMBO
900,17.0222360441611,JUMBO
1000,17.4543616855854,JUMBO
1100,17.6167262737781,JUMBO
1200,18.2089186060575,JUMBO
1300,19.8193818137839,JUMBO
1400,20.5207847405795,JUMBO
1500,21.4935209661535,JUMBO
1600,21.9796471950103,JUMBO
1700,22.5185645916481,JUMBO
1800,23.0563935105997,JUMBO
1900,23.6472554812626,JUMBO
2000,24.8283747127628,JUMBO
2100,25.8488225435823,JUMBO
2200,26.0119127835657,JUMBO
2300,26.4961039409803,JUMBO
2400,27.1929110731008,JUMBO
2500,27.4624302424023,JUMBO
2600,27.9450491542701,JUMBO
2700,28.4293612536499,JUMBO
2800,29.0739819278149,JUMBO
2900,30.037768447969,JUMBO
3000,31.055071787695,JUMBO
3100,31.8577031393079,JUMBO
3200,32.3393545154547,JUMBO
3300,32.555114981254,JUMBO
3400,32.771480156879,JUMBO
3500,32.8266901639628,JUMBO
3600,32.8266901639628,JUMBO
0,5.64812799115396,SMAC
100,5.70491024378445,SMAC
200,5.70781285094767,SMAC
300,5.81762815528948,SMAC
400,5.82246583389485,SMAC
500,5.82730351250022,SMAC
600,5.7757217643705,SMAC
700,5.72474472606645,SMAC
800,5.83855111525769,SMAC
900,5.94921301335545,SMAC
1000,6.22030442820367,SMAC
1100,6.43715337168921,SMAC
1200,6.70872855439797,SMAC
1300,7.46231793914891,SMAC
1400,7.78740994142954,SMAC
1500,8.96973859258107,SMAC
1600,10.5282572262824,SMAC
1700,11.3372985020474,SMAC
1800,12.7322431279048,SMAC
1900,14.1800998635084,SMAC
